Oblast,Raion,Hromada,Settlement,Population
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Syren,125
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Turhenievka,1274
AR of Crimea,Bakhchysaraiskyi,Zaliznychnenska,Zaliznychne,783
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Bohatyr,188
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Mnohorichchia,58
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Nahirne,124
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Plotynne,672
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Shchaslyve,407
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Zelene,280
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Andriivka,1687
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Dalnie,517
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Frontove,996
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Fruktove,516
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Honcharne,644
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Inkerman,11985
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Kacha,5137
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Kamyshly,36
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Kyzylove,33
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Novobobrivske,296
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Orlivka,932
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Orlyne,1970
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Osypenko,583
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Ozerne,181
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Pavlivka,427
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Peredove,660
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Pidhirne,62
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Poliushko,1595
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Povorotne,228
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Pyrohovka,331
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Rezervne,134
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Ridne,761
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Rodnykivske,501
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Rozsoshanka,122
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Shyroke,623
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Soniachnyi,1778
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Ternivka,1981
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Tylove,652
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Uzundzhy,9
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Verkhnosadove,2404
AR of Crimea,Bakhchysaraiskyi,Zelenivska,Vyshneve,775
AR of Crimea,Bilohirskyi,Aromatnivska,Aromatne,1687
AR of Crimea,Bilohirskyi,Aromatnivska,Krasnohirske,286
AR of Crimea,Bilohirskyi,Aromatnivska,Kurortne,425
AR of Crimea,Bilohirskyi,Bahativska,Bahate,1052
AR of Crimea,Bilohirskyi,Bahativska,Cheremysivka,235
AR of Crimea,Bilohirskyi,Bahativska,Horlynka,83
AR of Crimea,Bilohirskyi,Bahativska,Krasna Sloboda,176
AR of Crimea,Bilohirskyi,Bahativska,Melekhove,66
AR of Crimea,Bilohirskyi,Bahativska,Povorotne,103
AR of Crimea,Bilohirskyi,Bahativska,Ruske,196
AR of Crimea,Bilohirskyi,Bilohirska,Bilohirsk,18220
AR of Crimea,Bilohirskyi,Chkalovska,Chkalove,1436
AR of Crimea,Bilohirskyi,Chkalovska,Kovrove,94
AR of Crimea,Bilohirskyi,Chkalovska,Luhove,169
AR of Crimea,Bilohirskyi,Chkalovska,Stepanivka,72
AR of Crimea,Bilohirskyi,Chkalovska,Velykosillia,634
AR of Crimea,Bilohirskyi,Chkalovska,Zalyvne,102
AR of Crimea,Bilohirskyi,Chornopilska,Chornopillia,1282
AR of Crimea,Bilohirskyi,Chornopilska,Dozorne,145
AR of Crimea,Bilohirskyi,Chornopilska,Kyzylivka,120
AR of Crimea,Bilohirskyi,Chornopilska,Sultan-Sarai,480
AR of Crimea,Bilohirskyi,Drofynska,Drofyne,1040
AR of Crimea,Bilohirskyi,Drofynska,Strepetove,667
AR of Crimea,Bilohirskyi,Drofynska,Yastrubky,469
AR of Crimea,Bilohirskyi,Ivanivska,Ivanivka,526
AR of Crimea,Bilohirskyi,Ivanivska,Tambovka,852
AR of Crimea,Bilohirskyi,Ivanivska,Tarasivka,154
AR of Crimea,Bilohirskyi,Ivanivska,Zarichchia,979
AR of Crimea,Bilohirskyi,Izobilnenska,Izobilne,1403
AR of Crimea,Bilohirskyi,Kistochkivska,Biuiten,845
AR of Crimea,Bilohirskyi,Kistochkivska,Kistochkivka,1082
AR of Crimea,Bilohirskyi,Krymskorozivska,Krymska Roza,1617
AR of Crimea,Bilohirskyi,Krymskorozivska,Vyshneve,269
AR of Crimea,Bilohirskyi,Krynychnenska,Aleksieievka,303
AR of Crimea,Bilohirskyi,Krynychnenska,Holovanivka,576
AR of Crimea,Bilohirskyi,Krynychnenska,Karasivka,196
AR of Crimea,Bilohirskyi,Krynychnenska,Krasnoselivka,74
AR of Crimea,Bilohirskyi,Krynychnenska,Krynychne,875
AR of Crimea,Bilohirskyi,Krynychnenska,Kyrpychne,312
AR of Crimea,Bilohirskyi,Krynychnenska,Yabluchne,215
AR of Crimea,Bilohirskyi,Kurska,Kurske,1306
AR of Crimea,Bilohirskyi,Kurska,Topolivka,231
AR of Crimea,Bilohirskyi,Lystvynska,Kyrsanivka,317
AR of Crimea,Bilohirskyi,Lystvynska,Lystvynne,628
AR of Crimea,Bilohirskyi,Lystvynska,Tsvitushche,425
AR of Crimea,Bilohirskyi,Melnychna,Bochala,398
AR of Crimea,Bilohirskyi,Melnychna,Melnychne,875
AR of Crimea,Bilohirskyi,Michurinska,Lichebne,705
AR of Crimea,Bilohirskyi,Michurinska,Michurinske,859
AR of Crimea,Bilohirskyi,Muromska,Dyvne,29
AR of Crimea,Bilohirskyi,Muromska,Khlibne,297
AR of Crimea,Bilohirskyi,Muromska,Kryvtsove,16
AR of Crimea,Bilohirskyi,Muromska,Muromske,910
AR of Crimea,Bilohirskyi,Muromska,Sinne,374
AR of Crimea,Bilohirskyi,Mykhailivska,Kuntseve,479
AR of Crimea,Bilohirskyi,Mykhailivska,Mykhailivka,2672
AR of Crimea,Bilohirskyi,Mykhailivska,Uiutne,632
AR of Crimea,Bilohirskyi,Mytrofanivska,Burevisnyk,491
AR of Crimea,Bilohirskyi,Mytrofanivska,Chervone,503
AR of Crimea,Bilohirskyi,Mytrofanivska,Mytrofanivka,1427
AR of Crimea,Bilohirskyi,Mytrofanivska,Plodove,616
AR of Crimea,Bilohirskyi,Mytrofanivska,Rozlyvy,600
AR of Crimea,Bilohirskyi,Novohryhorivska,Korinne,489
AR of Crimea,Bilohirskyi,Novohryhorivska,Novohryhorivka,1311
AR of Crimea,Bilohirskyi,Novohryhorivska,Vladyslavivka,1037
AR of Crimea,Bilohirskyi,Novozhylivska,Annivka,446
AR of Crimea,Bilohirskyi,Novozhylivska,Novooleksandrivka,33
AR of Crimea,Bilohirskyi,Novozhylivska,Novozhylivka,1604
AR of Crimea,Bilohirskyi,Novozhylivska,Turhenieve,355
AR of Crimea,Bilohirskyi,Nyzhnohirska,Liniine,495
AR of Crimea,Bilohirskyi,Nyzhnohirska,Nyzhnohirskyi,9460
AR of Crimea,Bilohirskyi,Nyzhnohirska,Zelene,1123
AR of Crimea,Bilohirskyi,Okhotska,Okhotske,1584
AR of Crimea,Bilohirskyi,Okhotska,Rodnyky,107
AR of Crimea,Bilohirskyi,Omelianivska,Omelianivka,1671
AR of Crimea,Bilohirskyi,Pshenychnenska,Dvorove,29
AR of Crimea,Bilohirskyi,Pshenychnenska,Liubymivka,479
AR of Crimea,Bilohirskyi,Pshenychnenska,Pshenychne,1055
AR of Crimea,Bilohirskyi,Pshenychnenska,Slyvianka,98
AR of Crimea,Bilohirskyi,Rusakivska,Luhove,259
AR of Crimea,Bilohirskyi,Rusakivska,Rusakivka,934
AR of Crimea,Bilohirskyi,Sadova,Kukurudziane,229
AR of Crimea,Bilohirskyi,Sadova,Sadove,3224
AR of Crimea,Bilohirskyi,Sadova,Sierove,119
AR of Crimea,Bilohirskyi,Tsvitochnenska,Dolynivka,701
AR of Crimea,Bilohirskyi,Tsvitochnenska,Tsvitochne,2502
AR of Crimea,Bilohirskyi,Uvarivska,Novoivanivka,689
AR of Crimea,Bilohirskyi,Uvarivska,Simiane,807
AR of Crimea,Bilohirskyi,Uvarivska,Uvarivka,1317
AR of Crimea,Bilohirskyi,Vasylivska,Malynivka,138
AR of Crimea,Bilohirskyi,Vasylivska,Nekrasove,38
AR of Crimea,Bilohirskyi,Vasylivska,Pavlivka,732
AR of Crimea,Bilohirskyi,Vasylivska,Prolom,228
AR of Crimea,Bilohirskyi,Vasylivska,Sieverne,166
AR of Crimea,Bilohirskyi,Vasylivska,Vasylivka,1445
AR of Crimea,Bilohirskyi,Vyshenska,Bila Skelia,731
AR of Crimea,Bilohirskyi,Vyshenska,Myronivka,320
AR of Crimea,Bilohirskyi,Vyshenska,Vyshenne,1952
AR of Crimea,Bilohirskyi,Yakymivska,Dvorichchia,493
AR of Crimea,Bilohirskyi,Yakymivska,Luzhky,314
AR of Crimea,Bilohirskyi,Yakymivska,Yakymivka,1616
AR of Crimea,Bilohirskyi,Zelenohirska,Balky,824
AR of Crimea,Bilohirskyi,Zelenohirska,Mizhhiria,371
AR of Crimea,Bilohirskyi,Zelenohirska,Novohryhorivka,192
AR of Crimea,Bilohirskyi,Zelenohirska,Novoklenove,886
AR of Crimea,Bilohirskyi,Zelenohirska,Oleksandrivka,259
AR of Crimea,Bilohirskyi,Zelenohirska,Ovrazhky,49
AR of Crimea,Bilohirskyi,Zelenohirska,Pasichne,84
AR of Crimea,Bilohirskyi,Zelenohirska,Pcholyne,14
AR of Crimea,Bilohirskyi,Zelenohirska,Yakovlivka,54
AR of Crimea,Bilohirskyi,Zelenohirska,Zelenohirske,1942
AR of Crimea,Bilohirskyi,Zemlianychnenska,Olenivka,29
AR of Crimea,Bilohirskyi,Zemlianychnenska,Opytne,87
AR of Crimea,Bilohirskyi,Zemlianychnenska,Radisne,89
AR of Crimea,Bilohirskyi,Zemlianychnenska,Rodnyky,41
AR of Crimea,Bilohirskyi,Zemlianychnenska,Synokamianka,377
AR of Crimea,Bilohirskyi,Zemlianychnenska,Uchebne,88
AR of Crimea,Bilohirskyi,Zemlianychnenska,Zemlianychne,708
AR of Crimea,Bilohirskyi,Zheliabovska,Lomonosove,748
AR of Crimea,Bilohirskyi,Zheliabovska,Zheliabovka,3043
AR of Crimea,Bilohirskyi,Zhemchuzhynska,Piny,505
AR of Crimea,Bilohirskyi,Zhemchuzhynska,Pryrichne,487
AR of Crimea,Bilohirskyi,Zhemchuzhynska,Zhemchuzhyna,1238
AR of Crimea,Bilohirskyi,Zorkinska,Mezhove,207
AR of Crimea,Bilohirskyi,Zorkinska,Nizhynske,191
AR of Crimea,Bilohirskyi,Zorkinska,Shyroke,252
AR of Crimea,Bilohirskyi,Zorkinska,Zorkine,1368
AR of Crimea,Bilohirskyi,Zuiska,Balanove,138
AR of Crimea,Bilohirskyi,Zuiska,Barabanove,126
AR of Crimea,Bilohirskyi,Zuiska,Lytvynenkove,1451
AR of Crimea,Bilohirskyi,Zuiska,Nyzhni Orishnyky,596
AR of Crimea,Bilohirskyi,Zuiska,Petrove,499
AR of Crimea,Bilohirskyi,Zuiska,Ukrainka,1899
AR of Crimea,Bilohirskyi,Zuiska,Verkhni Orishnyky,226
AR of Crimea,Bilohirskyi,Zuiska,Volodymyrivka,168
AR of Crimea,Bilohirskyi,Zuiska,Zuia,7085
AR of Crimea,Bilohirskyi,Zybynska,Melnyky,341
AR of Crimea,Bilohirskyi,Zybynska,Zybyny,1390
AR of Crimea,Dzhankoiskyi,Azovska,Azovske,3798
AR of Crimea,Dzhankoiskyi,Chaikynska,Chaikyne,1121
AR of Crimea,Dzhankoiskyi,Chaikynska,Mysove,78
AR of Crimea,Dzhankoiskyi,Dzhankoiska,Dzhankoi,36086
AR of Crimea,Dzhankoiskyi,Izumrudnivska,Dmytrivka,654
AR of Crimea,Dzhankoiskyi,Izumrudnivska,Izumrudne,1965
AR of Crimea,Dzhankoiskyi,Izumrudnivska,Kalynivka,720
AR of Crimea,Dzhankoiskyi,Izumrudnivska,Michurinivka,186
AR of Crimea,Dzhankoiskyi,Izumrudnivska,Novostepove,1687
AR of Crimea,Dzhankoiskyi,Izumrudnivska,Ovocheve,812
AR of Crimea,Dzhankoiskyi,Kindrativska,Dorozhnie,22
AR of Crimea,Dzhankoiskyi,Kindrativska,Kindratove,990
AR of Crimea,Dzhankoiskyi,Kindrativska,Mishen-Naiman,373
AR of Crimea,Dzhankoiskyi,Kindrativska,Rubynivka,449
AR of Crimea,Dzhankoiskyi,Krymkivska,Krymka,1894
AR of Crimea,Dzhankoiskyi,Lobanivska,Lobanove,1507
AR of Crimea,Dzhankoiskyi,Lobanivska,Marine,759
AR of Crimea,Dzhankoiskyi,Lobanivska,Ordenonosne,108
AR of Crimea,Dzhankoiskyi,Lobanivska,Yasne,102
AR of Crimea,Dzhankoiskyi,Lobanivska,Zhylyne,551
AR of Crimea,Dzhankoiskyi,Luhanska,Dzhadra-Sheikh-Eli,104
AR of Crimea,Dzhankoiskyi,Luhanska,Kovylne,595
AR of Crimea,Dzhankoiskyi,Luhanska,Luhanske,1458
AR of Crimea,Dzhankoiskyi,Luhanska,Probudzhennia,55
AR of Crimea,Dzhankoiskyi,Luhanska,Tutove,488
AR of Crimea,Dzhankoiskyi,Maiska,Bai-Konchek,1134
AR of Crimea,Dzhankoiskyi,Maiska,Blyzhnie,409
AR of Crimea,Dzhankoiskyi,Maiska,Maiske,2277
AR of Crimea,Dzhankoiskyi,Maiska,Polove,535
AR of Crimea,Dzhankoiskyi,Maiska,Zhytomyrske,399
AR of Crimea,Dzhankoiskyi,Maslivska,Konurcha,496
AR of Crimea,Dzhankoiskyi,Maslivska,Maslove,2530
AR of Crimea,Dzhankoiskyi,Maslivska,Orak-Adzhy,734
AR of Crimea,Dzhankoiskyi,Medvedivska,Medvedivka,1348
AR of Crimea,Dzhankoiskyi,Medvedivska,Peredmistne,405
AR of Crimea,Dzhankoiskyi,Medvedivska,Turhenieve,636
AR of Crimea,Dzhankoiskyi,Myrnivska,Dniprovka,2225
AR of Crimea,Dzhankoiskyi,Myrnivska,Kostiantynivka,356
AR of Crimea,Dzhankoiskyi,Myrnivska,Myrnivka,1483
AR of Crimea,Dzhankoiskyi,Myrnivska,Rysakove,803
AR of Crimea,Dzhankoiskyi,Myrnivska,Tymofiivka,417
AR of Crimea,Dzhankoiskyi,Novokrymska,Istochne,361
AR of Crimea,Dzhankoiskyi,Novokrymska,Novokrymske,1278
AR of Crimea,Dzhankoiskyi,Novokrymska,Pavlivka,446
AR of Crimea,Dzhankoiskyi,Pakharivska,Pakharivka,1278
AR of Crimea,Dzhankoiskyi,Pakharivska,Vypasne,439
AR of Crimea,Dzhankoiskyi,Pobiednenska,Nove Zhyttia,829
AR of Crimea,Dzhankoiskyi,Pobiednenska,Pobiedne,3545
AR of Crimea,Dzhankoiskyi,Pobiednenska,Tarasivka,144
AR of Crimea,Dzhankoiskyi,Prostornenska,Antonivka,39
AR of Crimea,Dzhankoiskyi,Prostornenska,Aprelivka,375
AR of Crimea,Dzhankoiskyi,Prostornenska,Borodino,687
AR of Crimea,Dzhankoiskyi,Prostornenska,Nyzhni Otrozhky,169
AR of Crimea,Dzhankoiskyi,Prostornenska,Prostorne,756
AR of Crimea,Dzhankoiskyi,Prostornenska,Slovianske,63
AR of Crimea,Dzhankoiskyi,Prostornenska,Stefanivka,521
AR of Crimea,Dzhankoiskyi,Roshchynska,Blyzhnohorodske,744
AR of Crimea,Dzhankoiskyi,Roshchynska,Krasnodolne,482
AR of Crimea,Dzhankoiskyi,Roshchynska,Ozerne,82
AR of Crimea,Dzhankoiskyi,Roshchynska,Roshchyne,1242
AR of Crimea,Dzhankoiskyi,Roshchynska,Siernovodske,446
AR of Crimea,Dzhankoiskyi,Rozkishnenska,Rozkishne,723
AR of Crimea,Dzhankoiskyi,Rozkishnenska,Zernove,803
AR of Crimea,Dzhankoiskyi,Stalnenska,Mnohovodne,641
AR of Crimea,Dzhankoiskyi,Stalnenska,Novofedorivka,230
AR of Crimea,Dzhankoiskyi,Stalnenska,Novokostiantynivka,165
AR of Crimea,Dzhankoiskyi,Stalnenska,Novopavlivka,499
AR of Crimea,Dzhankoiskyi,Stalnenska,Ozerky,474
AR of Crimea,Dzhankoiskyi,Stalnenska,Prozrachne,7
AR of Crimea,Dzhankoiskyi,Stalnenska,Ridne,268
AR of Crimea,Dzhankoiskyi,Stalnenska,Stalne,1289
AR of Crimea,Dzhankoiskyi,Svitlivska,Blahodatne,189
AR of Crimea,Dzhankoiskyi,Svitlivska,Svitle,2299
AR of Crimea,Dzhankoiskyi,Tabachnenska,Fedorivka,55
AR of Crimea,Dzhankoiskyi,Tabachnenska,Khlibne,94
AR of Crimea,Dzhankoiskyi,Tabachnenska,Novosiltseve,578
AR of Crimea,Dzhankoiskyi,Tabachnenska,Tabachne,1494
AR of Crimea,Dzhankoiskyi,Tsilynna,Kolosky,494
AR of Crimea,Dzhankoiskyi,Tsilynna,Tomashivka,284
AR of Crimea,Dzhankoiskyi,Tsilynna,Tsilynne,1104
AR of Crimea,Dzhankoiskyi,Vilnenska,Vilne,2055
AR of Crimea,Dzhankoiskyi,Yarkivska,Yarke,1904
AR of Crimea,Dzhankoiskyi,Yarkivska,Yastrubtsi,322
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Arbuzivka,155
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Dibrivka,41
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Nakhidka,443
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Slovianka,183
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Timiriazieve,253
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Vesele,276
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Vidradne,94
AR of Crimea,Dzhankoiskyi,Yarkopolenska,Yarke Pole,1015
AR of Crimea,Dzhankoiskyi,Yasnopolianska,Riumshyne,246
AR of Crimea,Dzhankoiskyi,Yasnopolianska,Volodyne,15
AR of Crimea,Dzhankoiskyi,Yasnopolianska,Yasnopolianske,1169
AR of Crimea,Dzhankoiskyi,Yermakivska,Kopani,75
AR of Crimea,Dzhankoiskyi,Yermakivska,Prydorozhnie,624
AR of Crimea,Dzhankoiskyi,Yermakivska,Solone Ozero,1035
AR of Crimea,Dzhankoiskyi,Yermakivska,Stovpove,246
AR of Crimea,Dzhankoiskyi,Yermakivska,Tarkhan-Sunak,125
AR of Crimea,Dzhankoiskyi,Yermakivska,Vitvyste,69
AR of Crimea,Dzhankoiskyi,Yermakivska,Yermakove,933
AR of Crimea,Dzhankoiskyi,Zarichnenska,Armiiske,189
AR of Crimea,Dzhankoiskyi,Zarichnenska,Bolotne,304
AR of Crimea,Dzhankoiskyi,Zarichnenska,Mytiuryne,27
AR of Crimea,Dzhankoiskyi,Zarichnenska,Nyzynne,346
AR of Crimea,Dzhankoiskyi,Zarichnenska,Perepilkyne,659
AR of Crimea,Dzhankoiskyi,Zarichnenska,Sumizhne,107
AR of Crimea,Dzhankoiskyi,Zarichnenska,Zarichne,2057
AR of Crimea,Dzhankoiskyi,Zavito-Leninska,Kuchuk-Alkaly,2574
AR of Crimea,Dzhankoiskyi,Zavito-Leninska,Martynivka,711
AR of Crimea,Dzhankoiskyi,Zavito-Leninska,Milkovodne,276
AR of Crimea,Dzhankoiskyi,Zavito-Leninska,Pushkine,476
AR of Crimea,Dzhankoiskyi,Zavito-Leninska,Solontseve,368
AR of Crimea,Dzhankoiskyi,Zavito-Leninska,Zelenyi Yar,182
AR of Crimea,Feodosiiskyi,Abrykosivska,Abrykosivka,1346
AR of Crimea,Feodosiiskyi,Abrykosivska,Babenkove,645
AR of Crimea,Feodosiiskyi,Abrykosivska,Krynychky,525
AR of Crimea,Feodosiiskyi,Abrykosivska,Matrosivka,150
AR of Crimea,Feodosiiskyi,Berehova,Berehove,2009
AR of Crimea,Feodosiiskyi,Berehova,Stepove,45
AR of Crimea,Feodosiiskyi,Chapaievska,Cherkez-Tobai,1280
AR of Crimea,Feodosiiskyi,Chapaievska,Khlibne,410
AR of Crimea,Feodosiiskyi,Chapaievska,Kolomenske,305
AR of Crimea,Feodosiiskyi,Chapaievska,Mykolaivka,516
AR of Crimea,Feodosiiskyi,Chapaievska,Novoselivka,32
AR of Crimea,Feodosiiskyi,Chapaievska,Novyi Myr,717
AR of Crimea,Feodosiiskyi,Chornozemnenska,Almazne,508
AR of Crimea,Feodosiiskyi,Chornozemnenska,Chornozemne,1038
AR of Crimea,Feodosiiskyi,Chornozemnenska,Demianivka,223
AR of Crimea,Feodosiiskyi,Chornozemnenska,Korniivka,133
AR of Crimea,Feodosiiskyi,Chornozemnenska,Rozdolne,1112
AR of Crimea,Feodosiiskyi,Dachnivska,Dachne,2351
AR of Crimea,Feodosiiskyi,Dachnivska,Lisne,549
AR of Crimea,Feodosiiskyi,Dmytrivska,Dmytrivka,1193
AR of Crimea,Feodosiiskyi,Dmytrivska,Rovenka,398
AR of Crimea,Feodosiiskyi,Feodosiiska,Feodosiia,69461
AR of Crimea,Feodosiiskyi,Hrushivska,Hrushivka,1958
AR of Crimea,Feodosiiskyi,Hrushivska,Kholodivka,640
AR of Crimea,Feodosiiskyi,Hrushivska,Perevalivka,687
AR of Crimea,Feodosiiskyi,Illichivska,Diatlivka,24
